child,session,phase,idkptm_set1,idkptm_set2,correct,sum,slack,digitization_confidence,correction_note
Alex,1,BL,0,,0,0,,original,
Alex,2,BL,0,,0,0,,original,
Alex,3,BL,0,,0,0,,original,
Alex,4,BL,0,,0,0,,original,
Alex,5,BL,,,0,0,,original,
Alex,6,Teaching,,,0,0,,original,
Alex,7,Teaching,,,0,0,,original,
Alex,8,Intervention,2,,0,2,3,original,
Alex,9,Intervention,4,,1,5,0,original,
Alex,10,Intervention,3,,2,5,0,original,
Alex,11,Intervention,0,,0,0,5,original,
Alex,12,Intervention,1,,0,1,4,original,
Alex,13,Intervention,1,,0,1,4,original,
Alex,14,Intervention,3,,0,3,2,original,
Alex,15,Intervention,3,,2,5,0,original,
Alex,16,Intervention,2,,1,3,2,original,
Alex,17,Intervention,2,,2,4,1,original,
Alex,18,Intervention,4,,0,4,1,original,
Alex,19,Intervention,3,,2,5,0,original,
Alex,20,Intervention,,4,0,4,1,original,
Alex,21,Intervention,3,,0,3,2,original,
Alex,22,Intervention,3,,2,5,0,original,
Alex,23,Intervention,3,,1,4,1,original,
Alex,24,Intervention,5,,0,5,0,original,
Alex,25,Intervention,4,,1,5,0,original,
Alex,26,Intervention,3,,2,5,0,original,
Alex,27,Intervention,4,,1,5,0,original,
Alex,28,Intervention,,3,2,5,0,original,
Alex,29,Intervention,4,,1,5,0,original,
Alex,30,Intervention,3,,1,4,1,original,
Alex,31,Intervention,2,,2,4,1,original,
Alex,32,Intervention,4,,1,5,0,original,
Alex,33,Intervention,2,,2,4,1,original,
Alex,34,Intervention,4,,1,5,0,original,
Alex,35,Intervention,2,,2,4,1,original,
Alex,36,Intervention,4,,1,5,0,original,
Alex,37,Intervention,2,,2,4,1,original,
Alex,38,Intervention,3,,2,5,0,original,
Alex,39,Intervention,3,,2,5,0,original,
Alex,40,Intervention,2,,2,4,1,original,
Alex,41,Intervention,,4,1,5,0,original,
Alex,42,Intervention,,4,1,5,0,original,
Alex,43,Intervention,3,,2,5,0,original,
Alex,44,Intervention,2,,2,4,1,original,
Alex,45,Intervention,1,,3,4,1,original,
Alex,46,Intervention,2,,2,4,1,original,
Alex,47,Intervention,3,,1,4,1,original,
Alex,48,Intervention,2,,3,5,0,medium,Recovered black square near y=2 and gray bar near y=3 in calibrated overlay.
Alex,49,Intervention,1,,4,5,0,medium,Gray bar reaches y=4; black square near y=1.
Alex,50,Intervention,1,,3,4,1,original,
Alex,51,Intervention,1,,3,4,1,medium,Gray bar visible near y=3 behind line; prior CSV missed bar.
Alex,52,Intervention,1,,1,2,3,medium,Small gray bar near y=1; black square near y=1.
Alex,53,Intervention,2,,3,5,0,medium,Recovered black square near y=2 and gray bar near y=3.
Alex,54,Intervention,,5,0,5,0,original,
Alex,55,Intervention,1,,4,5,0,high,Late-phase gray bar reaches y=4; black square near y=1.
Alex,56,Intervention,2,,3,5,0,high,Late-phase gray bar reaches y=3; black square near y=2.
Alex,57,Intervention,3,,1,4,1,medium,Black square near y=3; correct bar appears small near y=1; avoided impossible sum from automated gray pass.
Alex,58,Intervention,1,,4,5,0,high,Late-phase gray bar reaches y=4; black square near y=1.
Alex,59,Intervention,2,,3,5,0,high,Late-phase gray bar reaches y=3; black square near y=2.
Alex,60,Intervention,0,,5,5,0,high,Mastery sequence bar reaches y=5; black square at y=0.
Alex,61,Intervention,0,,4,4,1,high,Mastery sequence bar reaches y=4; black square at y=0.
Alex,62,Intervention,1,,4,5,0,high,Final gray bar reaches y=4; black square near y=1.
Aden,1,BL,0,,0,0,,original,
Aden,2,BL,0,,0,0,,original,
Aden,3,BL,0,,0,0,,original,
Aden,4,BL,0,,0,0,,original,
Aden,5,BL,0,,0,0,,original,
Aden,6,BL,0,,0,0,,original,
Aden,7,BL,,,0,0,,original,
Aden,8,Teaching,,,0,0,,original,
Aden,9,Teaching,,,0,0,,original,
Aden,10,Intervention,5,,0,5,0,original,
Aden,11,Intervention,,5,0,5,0,original,
Aden,12,Intervention,5,,0,5,0,original,
Aden,13,Intervention,5,,0,5,0,original,
Aden,14,Intervention,5,,0,5,0,original,
Aden,15,Intervention,5,,0,5,0,original,
Aden,16,Intervention,4,,0,4,1,original,
Aden,17,Intervention,5,,0,5,0,original,
Aden,18,Intervention,5,,0,5,0,original,
Aden,19,Intervention,5,,0,5,0,original,
Aden,20,Intervention,5,,0,5,0,original,
Aden,21,Intervention,3,,2,5,0,original,
Aden,22,Intervention,4,,1,5,0,original,
Aden,23,Intervention,3,,2,5,0,original,
Aden,24,Intervention,2,,3,5,0,original,
Aden,25,Intervention,,5,0,5,0,original,
Aden,26,Intervention,2,,2,4,1,original,
Aden,27,Intervention,4,,1,5,0,original,
Aden,28,Intervention,4,,1,5,0,original,
